,image_ssd
count,22.0
mean,0.0002523370061350182
std,0.00030904248659062916
min,1.922255614772439e-05
25%,6.764326099073514e-05
50%,9.785320435184985e-05
75%,0.00025719358382048085
max,0.0011395664187148213
