,image_ssd
count,22.0
mean,7.962050308792227e-05
std,0.00017159658695329658
min,7.345631274802145e-06
25%,2.500163100194186e-05
50%,3.6021005143993534e-05
75%,4.515578621067107e-05
max,0.0008291744161397219
